customer_id,customer_name,segment,country,city,state,postal_code,region,first_order_date,total_sales,total_profit,total_orders
MC-17590,Matt Collister,Corporate,United States,San Marcos,Texas,78666,Central,2014-05-20,2426.07,288.98,6
CD-11920,Carlos Daly,Consumer,United States,New York City,New York,10024,East,2014-03-24,2033.97,426.66,5
JB-16045,Julia Barnett,Home Office,United States,Chula Vista,California,91911,West,2015-05-03,2518.12,201.52,5
AD-10180,Alan Dominguez,Consumer,United States,Philadelphia,Pennsylvania,19134,East,2014-11-19,7836.84,2598.79,11
CC-12550,Clay Cheatham,Consumer,United States,San Francisco,California,94122,West,2017-06-15,113.83,33.87,3
PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106,Central,2014-05-11,1987.16,334.52,9
BS-11380,Bill Stewart,Corporate,United States,Skokie,Illinois,60076,Central,2014-11-29,3887.83,-17.53,5
LR-16915,Lena Radford,Corporate,United States,San Diego,California,92024,West,2014-08-08,5787.98,667.73,8
SF-20965,Sylvia Foulston,Corporate,United States,San Diego,California,92024,West,2014-10-21,3336.54,539.94,9
LO-17170,Lori Olson,Corporate,United States,Suffolk,Virginia,23434,South,2015-02-06,644.35,150.17,5
TT-21070,Ted Trevino,Consumer,United States,Akron,Ohio,44312,East,2014-05-18,4915.6,751.96,7
ES-14020,Erica Smith,Corporate,United States,San Francisco,California,94110,West,2014-09-20,4128.87,1063.34,6
RB-19360,Raymond Buch,Corporate,United States,Auburn,New York,13021,East,2016-04-01,19431.84,9070.42,8
KF-16285,Karen Ferguson,Home Office,United States,San Diego,California,92105,West,2014-09-26,10604.27,1660.14,7
SM-20905,Susan MacKendrick,Consumer,United States,Newark,Ohio,43055,East,2016-05-03,1043.04,-237.29,1
BM-11575,Brendan Murry,Corporate,United States,New York City,New York,10035,East,2015-09-15,808.16,95.58,6
RD-19585,Rob Dowd,Corporate,United States,Athens,Georgia,30605,South,2014-04-02,3373.43,984.25,13
AG-10765,Anthony Garverick,Consumer,United States,Philadelphia,Pennsylvania,19120,East,2014-09-17,192.86,-10.3,7
MY-17380,Maribeth Yedwab,Home Office,United States,Rancho Cucamonga,California,91730,West,2015-10-26,2629.57,410.1,9
MO-17500,Mary O'Rourke,Corporate,United States,Freeport,New York,11520,East,2014-11-28,1122.16,71.24,7
AS-10090,Adam Shillingsburg,Consumer,United States,New York City,New York,10035,East,2014-09-22,3255.31,64.54,9
AH-10690,Anna HÃ¤berlin,Corporate,United States,Virginia Beach,Virginia,23464,South,2014-04-02,7888.29,1298.02,12
NR-18550,Nick Radford,Consumer,United States,Aurora,Illinois,60505,Central,2014-06-07,2367.28,-25.15,5
DP-13000,Darren Powers,Corporate,United States,Houston,Texas,77095,Central,2014-01-03,1339.43,277.94,11
BN-11515,Bradley Nguyen,Consumer,United States,Lakeville,Minnesota,55044,Central,2014-03-17,1459.34,340.71,5
PM-19135,Peter McVee,Home Office,United States,Dover,New Hampshire,3820,East,2015-12-19,4115.66,526.75,4
BP-11050,Barry Pond,Corporate,United States,Chicago,Illinois,60623,Central,2014-10-12,983.42,209.78,5
JE-15745,Joel Eaton,Corporate,United States,Louisville,Colorado,80027,West,2014-06-22,7514.74,233.36,15
JK-15625,Jim Karlsson,Consumer,United States,Jackson,Mississippi,39212,South,2014-05-31,3760.03,750.95,7
LE-16810,Laurel Elliston,Consumer,United States,Chicago,Illinois,60653,Central,2014-05-27,1469.45,161.76,6
KT-16465,Kean Takahito,Corporate,United States,Houston,Texas,77036,Central,2014-09-08,3492.23,325.41,9
SP-20860,Sung Pak,Corporate,United States,Chicago,Illinois,60623,Central,2014-12-15,4282.94,566.72,10
ME-17725,Max Engle,Consumer,United States,Chicago,Illinois,60610,Central,2014-07-12,1908.45,77.81,8
JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,97477,West,2014-09-17,6491.03,-819.42,8
AB-10015,Aaron Bergman,Consumer,United States,Arlington,Texas,76017,Central,2014-02-18,886.16,129.35,3
MS-17830,Melanie Seite,Corporate,United States,Laredo,Texas,78041,Central,2014-01-09,450.15,22.86,5
