customer_id,customer_name,segment,country,city,state,postal_code,region,first_order_date,total_sales,total_profit,total_orders
KC-16255,Karen Carlisle,Corporate,United States,Macon,Georgia,31204.0,South,2014-09-08,2120.95,846.12,6
MC-17605,Matt Connell,Corporate,United States,Lakeland,Florida,33801.0,South,2014-03-19,2258.19,195.45,8
ST-20530,Shui Tom,Consumer,United States,Houston,Texas,77095.0,Central,2014-02-14,433.34,84.44,7
KC-16540,Kelly Collister,Consumer,United States,Seattle,Washington,98115.0,West,2015-11-02,3908.26,709.42,4
BS-11755,Bruce Stewart,Consumer,United States,Cleveland,Ohio,44105.0,East,2014-05-18,2562.38,-113.3,7
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.0,West,2016-06-12,1119.48,-427.18,5
AI-10855,Arianne Irving,Consumer,United States,San Francisco,California,94122.0,West,2014-04-28,4375.79,867.73,10
JS-16030,Joy Smith,Consumer,United States,Columbus,Ohio,43229.0,East,2014-02-27,2516.49,-311.26,6
FH-14365,Fred Hopkins,Corporate,United States,Knoxville,Tennessee,37918.0,South,2014-10-20,6987.2,2050.28,8
GR-14560,Georgia Rosenberg,Corporate,United States,Wilmington,Delaware,19805.0,East,2014-11-19,1284.38,359.83,2
JS-15940,Joni Sundaresam,Home Office,United States,Appleton,Wisconsin,54915.0,Central,2014-05-03,469.17,-327.93,5
KC-16675,Kimberly Carter,Corporate,United States,Henderson,Kentucky,42420.0,South,2014-12-13,1146.05,156.78,4
NM-18445,Nathan Mautz,Home Office,United States,North Las Vegas,Nevada,89031.0,West,2014-02-08,6459.34,2751.68,7
DK-12985,Darren Koutras,Consumer,United States,Chicago,Illinois,60610.0,Central,2014-11-24,1687.04,-107.35,5
SG-20470,Sheri Gordon,Consumer,United States,Atlanta,Georgia,30318.0,South,2014-07-26,1884.8,-119.01,8
DR-12940,Daniel Raglin,Home Office,United States,Albuquerque,New Mexico,87105.0,West,2014-03-28,8350.87,2869.08,8
PO-18850,Patrick O'Brill,Consumer,United States,Irving,Texas,75061.0,Central,2014-11-02,7473.83,38.48,11
PJ-19015,Pauline Johnson,Consumer,United States,Mobile,Alabama,36608.0,South,2014-04-07,1824.23,683.0,7
SS-20515,Shirley Schmidt,Home Office,United States,,Delaware,19711.0,East,2014-07-14,613.4,199.93,3
MH-17785,Maya Herman,Corporate,United States,San Diego,California,92105.0,West,2014-05-27,2203.78,238.56,7
PC-18745,Pamela Coakley,Corporate,United States,Watertown,New York,13601.0,East,2014-12-31,1832.06,272.68,4
AS-10135,Adrian Shami,Home Office,United States,Auburn,Washington,98002.0,West,2016-11-13,58.82,21.85,2
IM-15070,Irene Maddox,Consumer,United States,Florence,Alabama,35630.0,South,2014-12-19,4930.47,514.65,7
KW-16570,Kelly Williams,Consumer,United States,Clarksville,Tennessee,37042.0,South,2014-09-30,449.1,107.93,4
RP-19390,Resi P̦lking,Consumer,United States,Baltimore,Maryland,21215.0,East,2014-05-24,5153.08,465.25,12
PM-18940,Paul MacIntyre,Consumer,United States,Jackson,Michigan,49201.0,Central,2014-05-04,1405.4,157.88,3
MM-18055,Michelle Moray,Consumer,United States,Great Falls,Montana,59405.0,West,2014-04-11,2749.88,-520.34,8
RP-19855,Roy Phan,Corporate,United States,Richmond,Kentucky,40475.0,South,2014-04-05,2170.72,594.59,8
AW-10930,Arthur Wiediger,Home Office,United States,Aurora,Illinois,60505.0,Central,2014-07-14,2852.97,-104.55,7
CR-12820,Cyra Reiten,Home Office,United States,West Palm Beach,Florida,33407.0,South,2015-01-24,1397.87,83.27,3
CG-12520,Claire Gute,Consumer,United States,Dallas,Texas,75217.0,Central,2015-10-15,1148.78,169.93,3
DS-13180,David Smith,Corporate,United States,Jamestown,New York,14701.0,East,2014-04-28,2881.81,163.7,9
TG-21640,Trudy Glocke,Consumer,United States,Tampa,Florida,33614.0,South,2014-03-31,2074.66,365.72,4
MS-17530,MaryBeth Skach,Consumer,United States,San Diego,California,92037.0,West,2014-11-04,475.66,84.03,4
EH-14125,Eugene Hildebrand,Home Office,United States,Lakewood,California,90712.0,West,2014-10-19,3082.65,96.27,10
EC-14050,Erin Creighton,Consumer,United States,Columbus,Ohio,43229.0,East,2014-12-17,461.91,96.43,5
PS-18970,Paul Stevenson,Home Office,United States,Los Angeles,California,90049.0,West,2014-04-15,1278.64,198.51,8
LS-16975,Lindsay Shagiari,Home Office,United States,Chicago,Illinois,60653.0,Central,2014-10-20,2988.67,262.64,9
FC-14245,Frank Carlisle,Home Office,United States,Springfield,Ohio,45503.0,East,2015-06-13,3418.74,1217.17,7
LW-16825,Laurel Workman,Corporate,United States,New York City,New York,10024.0,East,2014-05-30,2238.06,32.58,5
BC-11125,Becky Castell,Home Office,United States,El Cajon,California,92020.0,West,2014-07-06,2933.68,251.6,9
BN-11470,Brad Norvell,Corporate,United States,Cary,North Carolina,27511.0,South,2014-09-12,265.3,36.61,4
